gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust
SMIM24	5.2704042522576	1.95797393424817	-3.31243031800943	477	155	378	61	0.792452830188679	0.393548387096774	1.90536015304978e-20	1.20244164692458e-19	8.00545038117014e-20	8.52258523810636e-37	1.53027752719776e-34
CYTL1	4.65592179506888	1.39276808313716	-3.26315371193172	477	155	342	47	0.716981132075472	0.303225806451613	8.69393548725728e-20	8.93463669960337e-20	1.10486328534215e-19	8.73742538748495e-37	1.55316473687932e-34
CTGF	0.00234090888856365	1.22689914741462	1.22455823852606	477	155	1	29	0.00209643605870021	0.187096774193548	3.82875565051564e-20	5.58122520023487e-18	4.83278867818978e-21	2.36028864819972e-36	4.15410802083151e-34
PDE4B	0.566806579249678	2.50907091379185	1.94226433454218	477	155	62	74	0.129979035639413	0.47741935483871	1.68755362933095e-19	5.36509238868334e-18	5.18277697278111e-21	2.43235229409924e-36	4.23897003724589e-34
GIMAP4	0	1.14447378014129	1.14447378014129	477	155	0	27	0	0.174193548387097	1.00897485976078e-19	5.24057098383773e-18	1.33336225847278e-20	6.04803655398666e-36	1.04378541537541e-33
AKR1C3	4.1059586931455	1.10138706191161	-3.00457163123389	477	155	321	41	0.672955974842767	0.264516129032258	9.82848470915756e-19	4.32178851733384e-19	7.97398308946395e-19	2.92782452684236e-35	5.00432776818748e-33
MGST1	2.85490618684066	0.147792285588519	-2.70711390125214	477	155	234	17	0.490566037735849	0.109677419354839	8.43678883936557e-17	4.41274925399749e-19	1.35748165576105e-18	5.0560814991297e-35	8.55970521224091e-33
SLC40A1	1.7870997918364	0.00284807816923308	-1.78425171366717	477	155	166	2	0.348008385744235	0.0129032258064516	5.50325124793426e-16	2.06692835614776e-21	3.12878976570324e-16	5.45353920542623e-35	9.14548235053365e-33
NRIP1	2.14605406185464	0.357685702211626	-1.78836835964301	477	155	229	14	0.480083857442348	0.0903225806451613	1.02869031505569e-17	2.61513524059626e-20	2.67750305013735e-17	5.8991737976796e-35	9.80034704930398e-33
CRHBP	2.76163328191245	0.210748932288263	-2.55088434962418	477	155	248	21	0.519916142557652	0.135483870967742	9.09221774339292e-17	1.25931723352662e-18	6.79275018376591e-19	7.18976162492331e-35	1.18338150596886e-32
HNRNPA1P33	2.96927285303824	1.50365177810396	-1.46562107493428	477	155	425	97	0.890985324947589	0.625806451612903	9.8601607301917e-14	1.16404953493064e-12	1.05912006772994e-24	1.03170999116072e-34	1.68253915622687e-32
CD19	0.0287653757063389	1.04945057535258	1.02068519964624	477	155	2	29	0.00419287211740042	0.187096774193548	3.69236911671347e-19	6.90121101638161e-17	5.72367824654429e-20	3.25953961948947e-34	5.26741602509499e-32
BNIP3L	3.07606416909652	0.761405266610122	-2.31465890248639	477	155	250	19	0.524109014675052	0.12258064516129	3.62247722129585e-18	2.55768978705793e-20	2.09005477084084e-16	4.39507145552846e-34	7.03844956697963e-32
PRDX1	7.20441428755671	4.08617565021467	-3.11823863734203	477	155	458	101	0.960167714884696	0.651612903225806	7.30509886754541e-25	1.26737755086146e-21	4.45067481053444e-15	4.63455955569383e-34	7.35570809482264e-32
ITM2A	4.49518044600456	1.63637483573165	-2.85880561027291	477	155	348	49	0.729559748427673	0.316129032258064	5.34556541440609e-20	9.55811150142164e-20	1.01164520441619e-16	7.89257468499835e-34	1.24157882832328e-31
LRRC16A	1.9958400042184	0.15686348000108	-1.83897652421732	477	155	174	4	0.364779874213836	0.0258064516129032	8.39974039962399e-16	2.19157484062679e-20	2.05925643343745e-15	3.61418062134676e-33	5.53842023491897e-31
CDKN2C	0.272823949334242	1.87598642740738	1.60316247807314	477	155	26	50	0.0545073375262055	0.32258064516129	1.75068297450592e-18	2.59622238391331e-16	1.80943056636105e-19	3.76018650992337e-33	5.71291242738444e-31
IRF8	0.0323060610628223	1.3353808631424	1.30307480207958	477	155	3	29	0.00628930817610063	0.187096774193548	3.07019826811908e-18	5.87048594406048e-16	4.11098368501349e-19	1.8922302021329e-32	2.85053254856902e-30
MED12L	1.66789612822174	0.134584509569567	-1.53331161865218	477	155	176	5	0.368972746331237	0.032258064516129	1.80996854073797e-15	1.21684017805077e-19	2.14985229094203e-15	2.04903521759464e-32	3.06081092671952e-30
TMSB10	10.7800159554766	12.054719240175	1.27470328469839	477	155	477	155	1	1	NA	1	2.87196061907015e-34	2.24681802811398e-32	3.32828643897952e-30
RUFY3	2.97318157297507	5.67636133384695	2.70317976087188	477	155	249	132	0.522012578616352	0.851612903225806	6.42084642384225e-13	2.96532586875484e-14	1.36124632879871e-20	3.1441613269007e-32	4.61905882206503e-30
CEACAM21	0.938585047232545	2.78791040041608	1.84932535318354	477	155	138	99	0.289308176100629	0.638709677419355	1.25188923568721e-14	1.47799316290807e-14	4.49126312032616e-20	5.13752849524877e-32	7.48563168291328e-30
